0.000999001	0.00894132	0.00894125
0.00199800	0.0177838	0.0177837
0.00299700	0.0265285	0.0265283
0.00399600	0.0351763	0.0351761
0.00499500	0.0437283	0.0437279
0.00599401	0.0521853	0.0521848
0.00699301	0.0605483	0.0605478
0.00799201	0.0688182	0.0688177
0.00899101	0.0769960	0.0769954
0.00999001	0.0850826	0.0850819
0.0109890	0.0930789	0.0930781
0.0119880	0.100986	0.100985
0.0129870	0.108804	0.108803
0.0139860	0.116535	0.116534
0.0149850	0.124179	0.124178
0.0159840	0.131737	0.131736
0.0169830	0.139210	0.139208
0.0179820	0.146598	0.146597
0.0189810	0.153904	0.153902
0.0199800	0.161127	0.161125
0.0209790	0.168268	0.168266
0.0219780	0.175328	0.175326
0.0229770	0.182308	0.182306
0.0239760	0.189209	0.189207
0.0249750	0.196031	0.196029
0.0259740	0.202775	0.202774
0.0269730	0.209443	0.209441
0.0279720	0.216034	0.216032
0.0289710	0.222550	0.222548
0.0299700	0.228991	0.228989
0.0309690	0.235358	0.235356
0.0319680	0.241652	0.241650
0.0329670	0.247874	0.247872
0.0339660	0.254023	0.254021
0.0349650	0.260102	0.260100
0.0359640	0.266110	0.266108
0.0369630	0.272049	0.272047
0.0379620	0.277919	0.277916
0.0389610	0.283720	0.283718
0.0399600	0.289454	0.289451
0.0409590	0.295121	0.295118
0.0419580	0.300721	0.300719
0.0429570	0.306256	0.306254
0.0439560	0.311726	0.311724
0.0449550	0.317132	0.317129
0.0459540	0.322474	0.322472
0.0469530	0.327753	0.327751
0.0479520	0.332970	0.332967
0.0489510	0.338125	0.338122
0.0499500	0.343219	0.343216
0.0509491	0.348252	0.348249
0.0519481	0.353225	0.353222
0.0529471	0.358139	0.358136
0.0539461	0.362994	0.362991
0.0549451	0.367791	0.367787
0.0559441	0.372530	0.372527
0.0569431	0.377212	0.377209
0.0579421	0.381838	0.381835
0.0589411	0.386408	0.386404
0.0599401	0.390922	0.390919
0.0609391	0.395382	0.395378
0.0619381	0.399787	0.399784
0.0629371	0.404139	0.404135
0.0639361	0.408437	0.408434
0.0649351	0.412683	0.412680
0.0659341	0.416877	0.416873
